stage,order,status,owner,action,command,stop_condition
0-private-config,1,blocked,operator,Create and fill the ignored controlled-public origin config.,cp harness/config/controlled-public-origin.env.example harness/config/controlled-public-origin.env && $EDITOR harness/config/controlled-public-origin.env,stop until needed-now gates are cleared
1-preflight,2,blocked,operator,Run the final P0 baseline preflight wrapper before starting server/client artifacts.,bash harness/scripts/final-p0-baseline-preflight.sh,stop if any required gate remains missing
2-origin-server,3,blocked,origin-host,Start the controlled public H3 origin server for the selected baseline trial.,"cd repro/quic-go-min-repro
RUN_ID=controlled-public-chrome-h3-baseline-001 \
ARTIFACT_DIR=artifacts/controlled-public-chrome-h3-baseline-001 \
PUBLIC_ORIGIN_HOST=h3.example.com \
PUBLIC_ORIGIN_PORT=443 \
TLS_CERT_FILE=/etc/letsencrypt/live/h3.example.com/fullchain.pem \
TLS_KEY_FILE=/etc/letsencrypt/live/h3.example.com/privkey.pem \
LISTEN_ADDR=0.0.0.0:443 \
TCP_ADDR=0.0.0.0:443 \
ALT_SVC='h3="":443""; ma=60' \
EXPECTED_REQUESTS=4 \
TIMEOUT=300s \
COMPLETION_GRACE=2s \
./scripts/run-controlled-public-h3-server.sh",stop if baseline preflight is not ready
3-browser-client,4,blocked,client-host,Run Chrome baseline navigation and collect NetLog/qlog summaries.,"cd repro/quic-go-min-repro
RUN_ID=controlled-public-chrome-h3-baseline-001 \
ARTIFACT_DIR=artifacts/controlled-public-chrome-h3-baseline-001 \
CONTROLLED_PUBLIC_SERVER_ARTIFACT_DIR=artifacts/controlled-public-chrome-h3-baseline-001 \
PUBLIC_ORIGIN_URL='https://h3.example.com/browser-slow?duration_ms=6000&chunks=6&label=public-slow' \
SECOND_URL='https://h3.example.com/browser-slow?duration_ms=6000&chunks=6&label=public-slow' \
CONTROLLED_PUBLIC_EXPECTED_REQUESTS=4 \
REQUIRE_H3_ALT_SVC=1 \
REQUIRE_CONTROLLED_PUBLIC_APPLICATION_H3=1 \
./scripts/run-controlled-public-h3-browser-baseline.sh",stop if server/origin terminal is not running
4-post-trial-registration,5,blocked,operator,"Validate artifacts, append the final handover row, and regenerate paper/audit outputs.",python3 tools/check_final_handover_trial_artifact_bundle.py --trial-id controlled-public-chrome-h3-baseline-001 --artifact-dir repro/quic-go-min-repro/artifacts/controlled-public-chrome-h3-baseline-001 --require-final-countable --require-complete,stop if raw artifact bundle or final-countable validation fails
4-post-trial-registration,6,blocked,operator,"Validate artifacts, append the final handover row, and regenerate paper/audit outputs.",python3 tools/validate_final_handover_trial_artifact.py --trial-id controlled-public-chrome-h3-baseline-001 --artifact-dir repro/quic-go-min-repro/artifacts/controlled-public-chrome-h3-baseline-001 --require-final-countable,stop if raw artifact bundle or final-countable validation fails
4-post-trial-registration,7,blocked,operator,"Validate artifacts, append the final handover row, and regenerate paper/audit outputs.",python3 tools/append_final_handover_result_row.py --trial-id controlled-public-chrome-h3-baseline-001 --artifact-dir repro/quic-go-min-repro/artifacts/controlled-public-chrome-h3-baseline-001 --require-final-countable --require-artifact-bundle --output /tmp/final-handover-append-dry-run.md,stop if raw artifact bundle or final-countable validation fails
4-post-trial-registration,8,blocked,operator,"Validate artifacts, append the final handover row, and regenerate paper/audit outputs.",python3 tools/append_final_handover_result_row.py --trial-id controlled-public-chrome-h3-baseline-001 --artifact-dir repro/quic-go-min-repro/artifacts/controlled-public-chrome-h3-baseline-001 --require-final-countable --require-artifact-bundle --apply,stop if raw artifact bundle or final-countable validation fails
4-post-trial-registration,9,blocked,operator,"Validate artifacts, append the final handover row, and regenerate paper/audit outputs.",python3 tools/audit_final_browser_handover_trials.py --output docs/results/final-browser-handover-trial-audit-20260624.md,stop if raw artifact bundle or final-countable validation fails
4-post-trial-registration,10,blocked,operator,"Validate artifacts, append the final handover row, and regenerate paper/audit outputs.",python3 tools/build_paper_tables.py --output docs/results/paper-tables-20260624.md,stop if raw artifact bundle or final-countable validation fails
4-post-trial-registration,11,blocked,operator,"Validate artifacts, append the final handover row, and regenerate paper/audit outputs.",python3 tools/audit_research_bundle.py --output docs/results/research-bundle-audit-20260624.md,stop if raw artifact bundle or final-countable validation fails
4-post-trial-registration,12,blocked,operator,"Validate artifacts, append the final handover row, and regenerate paper/audit outputs.",python3 tools/verify_research_bundle.py --output docs/results/research-verification-report-20260624.md,stop if raw artifact bundle or final-countable validation fails
