stage,priority,condition_id,source,current_role,current_pass_runs,suggested_repetitions,purpose,run_when,command_source,notes
P0-public-browser-handover,0,controlled-public-final-protocol,final_browser_handover,blocked,0/6 final requirements,6 required trial rows,Produce the missing publishable browser/mobile active path-change evidence before broad CM claims.,"after controlled public origin config, active secondary path, and network-change command are ready",docs/results/final-handover-trial-packet-20260624.md,This remains higher priority than optional local replication because it closes the main paper blocker.
L1-transition-zone-replication,1,poll-4000ms,polling_transition,transition_zone,1/3,6,Stabilize mixed transition-zone wording and detect whether the mixed row is timer/packet-alignment sensitive.,after disk free space is comfortable for local NetLog/qlog artifacts or after old artifacts are reviewed,docs/reproducibility-guide-ko.md sections 34-36; run-chrome-h3-rebinding-transient-boundary-repetition.sh,Keep this as transition-zone evidence even after extra repetitions unless the mixed behavior disappears consistently.
L1-transition-zone-replication,1,upload-retry0-4750ms,upload_recovery,transition_zone,1/3,6,Stabilize mixed transition-zone wording and detect whether the mixed row is timer/packet-alignment sensitive.,after disk free space is comfortable for local NetLog/qlog artifacts or after old artifacts are reviewed,docs/reproducibility-guide-ko.md sections 32-33; run-chrome-h3-rebinding-transient-boundary-repetition.sh with upload retry env,Keep this as transition-zone evidence even after extra repetitions unless the mixed behavior disappears consistently.
L1-transition-zone-replication,1,upload-4750ms,workload_transition,transition_zone,1/3,6,Stabilize mixed transition-zone wording and detect whether the mixed row is timer/packet-alignment sensitive.,after disk free space is comfortable for local NetLog/qlog artifacts or after old artifacts are reviewed,docs/reproducibility-guide-ko.md sections 34-36; run-chrome-h3-rebinding-transient-boundary-repetition.sh,Keep this as transition-zone evidence even after extra repetitions unless the mixed behavior disappears consistently.
L1-transition-zone-replication,1,downlink-5000ms,workload_transition,transition_zone,2/3,6,Stabilize mixed transition-zone wording and detect whether the mixed row is timer/packet-alignment sensitive.,after disk free space is comfortable for local NetLog/qlog artifacts or after old artifacts are reviewed,docs/reproducibility-guide-ko.md sections 34-36; run-chrome-h3-rebinding-transient-boundary-repetition.sh,Keep this as transition-zone evidence even after extra repetitions unless the mixed behavior disappears consistently.
L1-transition-zone-replication,1,downlink-5500ms,workload_transition,transition_zone,2/3,6,Stabilize mixed transition-zone wording and detect whether the mixed row is timer/packet-alignment sensitive.,after disk free space is comfortable for local NetLog/qlog artifacts or after old artifacts are reviewed,docs/reproducibility-guide-ko.md sections 34-36; run-chrome-h3-rebinding-transient-boundary-repetition.sh,Keep this as transition-zone evidence even after extra repetitions unless the mixed behavior disappears consistently.
L2-boundary-anchor-replication,2,downlink-wait_only_no_retry-6000ms,downlink_recovery,failure_candidate,0/3,13,Turn an important all-pass/all-fail local boundary anchor from directional evidence into stronger local support.,only if the paper needs stronger local reliability wording after public handover trials are attempted,docs/reproducibility-guide-ko.md section 35; run-chrome-h3-rebinding-transient-boundary-repetition.sh with downlink retry/wait env,The suggested count assumes future rows preserve the same all-pass or all-fail outcome.
L2-boundary-anchor-replication,2,downlink-retry_enabled_1x500ms-6000ms,downlink_recovery,stable_candidate,3/3,13,Turn an important all-pass/all-fail local boundary anchor from directional evidence into stronger local support.,only if the paper needs stronger local reliability wording after public handover trials are attempted,docs/reproducibility-guide-ko.md section 35; run-chrome-h3-rebinding-transient-boundary-repetition.sh with downlink retry/wait env,The suggested count assumes future rows preserve the same all-pass or all-fail outcome.
L2-boundary-anchor-replication,2,poll-3000ms,polling_transition,stable_candidate,3/3,13,Turn an important all-pass/all-fail local boundary anchor from directional evidence into stronger local support.,only if the paper needs stronger local reliability wording after public handover trials are attempted,docs/reproducibility-guide-ko.md sections 34-36; run-chrome-h3-rebinding-transient-boundary-repetition.sh,The suggested count assumes future rows preserve the same all-pass or all-fail outcome.
L2-boundary-anchor-replication,2,poll-6000ms,polling_transition,failure_candidate,0/3,13,Turn an important all-pass/all-fail local boundary anchor from directional evidence into stronger local support.,only if the paper needs stronger local reliability wording after public handover trials are attempted,docs/reproducibility-guide-ko.md sections 34-36; run-chrome-h3-rebinding-transient-boundary-repetition.sh,The suggested count assumes future rows preserve the same all-pass or all-fail outcome.
L2-boundary-anchor-replication,2,upload-retry1-12000ms,upload_recovery,stable_candidate,3/3,13,Turn an important all-pass/all-fail local boundary anchor from directional evidence into stronger local support.,only if the paper needs stronger local reliability wording after public handover trials are attempted,docs/reproducibility-guide-ko.md sections 32-33; run-chrome-h3-rebinding-transient-boundary-repetition.sh with upload retry env,The suggested count assumes future rows preserve the same all-pass or all-fail outcome.
L2-boundary-anchor-replication,2,upload-retry1-15000ms,upload_recovery,failure_candidate,0/3,13,Turn an important all-pass/all-fail local boundary anchor from directional evidence into stronger local support.,only if the paper needs stronger local reliability wording after public handover trials are attempted,docs/reproducibility-guide-ko.md sections 32-33; run-chrome-h3-rebinding-transient-boundary-repetition.sh with upload retry env,The suggested count assumes future rows preserve the same all-pass or all-fail outcome.
L2-boundary-anchor-replication,2,upload-retry2-18000ms,upload_recovery,stable_candidate,3/3,13,Turn an important all-pass/all-fail local boundary anchor from directional evidence into stronger local support.,only if the paper needs stronger local reliability wording after public handover trials are attempted,docs/reproducibility-guide-ko.md sections 32-33; run-chrome-h3-rebinding-transient-boundary-repetition.sh with upload retry env,The suggested count assumes future rows preserve the same all-pass or all-fail outcome.
L2-boundary-anchor-replication,2,upload-retry2-21000ms,upload_recovery,failure_candidate,0/3,13,Turn an important all-pass/all-fail local boundary anchor from directional evidence into stronger local support.,only if the paper needs stronger local reliability wording after public handover trials are attempted,docs/reproducibility-guide-ko.md sections 32-33; run-chrome-h3-rebinding-transient-boundary-repetition.sh with upload retry env,The suggested count assumes future rows preserve the same all-pass or all-fail outcome.
L2-boundary-anchor-replication,2,upload-4600ms,workload_transition,stable_candidate,3/3,13,Turn an important all-pass/all-fail local boundary anchor from directional evidence into stronger local support.,only if the paper needs stronger local reliability wording after public handover trials are attempted,docs/reproducibility-guide-ko.md sections 34-36; run-chrome-h3-rebinding-transient-boundary-repetition.sh,The suggested count assumes future rows preserve the same all-pass or all-fail outcome.
L2-boundary-anchor-replication,2,upload-4900ms,workload_transition,failure_candidate,0/3,13,Turn an important all-pass/all-fail local boundary anchor from directional evidence into stronger local support.,only if the paper needs stronger local reliability wording after public handover trials are attempted,docs/reproducibility-guide-ko.md sections 34-36; run-chrome-h3-rebinding-transient-boundary-repetition.sh,The suggested count assumes future rows preserve the same all-pass or all-fail outcome.
L2-boundary-anchor-replication,2,downlink-6000ms,workload_transition,failure_candidate,0/3,13,Turn an important all-pass/all-fail local boundary anchor from directional evidence into stronger local support.,only if the paper needs stronger local reliability wording after public handover trials are attempted,docs/reproducibility-guide-ko.md sections 34-36; run-chrome-h3-rebinding-transient-boundary-repetition.sh,The suggested count assumes future rows preserve the same all-pass or all-fail outcome.
