friction_id,layer,friction,why_it_discourages_or_blocks_cm,experiment_match_count,experiment_status_counts,literature_match_count,literature_grades,repo_claim_scope,next_proof_needed,confidence,paper_use
implementation-policy,implementation,"CM primitives exist, but support is implementation- and policy-specific","A QUIC stack can expose migration primitives while browsers, application APIs, or default policies still suppress runtime migration.",42,PASS=20;PASS_FEASIBILITY=5;PASS_NEGATIVE_CONTROL=17,19,A=16;B=3,Implementation maturity is not binary; report API/test/observability maturity separately.,Runtime browser and mobile-client migration trials with policy artifacts.,A,source-backed explanation with repo evidence
application-h3-discovery,browser,HTTP/3 application use must be proven before CM can be tested,A browser cannot demonstrate HTTP/3 CM if the target application request never used HTTP/3; Alt-Svc and DNS ALPN hints are not enough.,17,PASS=7;PASS_NEGATIVE_CONTROL=10,3,A=2;B=1,Local forced-H3 and selected public natural-H3 controls are usable as scoped H3 evidence; natural discovery remains target-specific.,Controlled public WebPKI origin baseline with server H3 request log and qlog.,A,source-backed explanation with repo evidence
active-path-proof,network,The trigger may not change the active client path,Interface toggles or scripted commands can complete successfully while the route/interface/public IP used for the QUIC path does not change.,3,PASS_NEGATIVE_CONTROL=3,7,A=5;B=2,"Inactive-interface controls are negative controls, not CM evidence.",Before/after client path snapshot showing active route or public IP change.,A,source-backed explanation with repo evidence
session-attribution,browser,Tuple changes can be replacement sessions rather than CM,"Browser workloads may open another QUIC session even without a real network change, so server tuple change alone is insufficient.",4,PASS=1;PASS_NEGATIVE_CONTROL=3,7,A=6;B=1,Tuple change is only a supporting signal; require session continuity plus path validation.,NetLog/qlog/server evidence that target workload stayed on the migrated session.,A,source-backed explanation with repo evidence
cid-load-balancing,load-balancer,Load balancers need CID-aware routing across tuple changes,Traditional 5-tuple routing can send migrated packets to the wrong backend; QUIC-aware routing needs routable CIDs or shared connection state.,8,PASS=5;PASS_FEASIBILITY=1;PASS_NEGATIVE_CONTROL=2,3,A=2;B=1,AWS NLB TCP_QUIC/QUIC positive and negative controls support a scoped LB claim.,Repeat with controlled public HTTP/3 browser workload through the same CID-aware path.,A,source-backed explanation with repo evidence
proxy-termination,proxy,HTTP/3 proxy support does not imply CM support,"A proxy may terminate QUIC, fail path validation, or create a new upstream connection, breaking end-to-end CM semantics.",1,PASS_NEGATIVE_CONTROL=1,11,A=2;B=7;C=2,HAProxy negative control supports the claim that H3 support alone is not enough.,Add one positive QUIC-aware proxy or tunneling baseline if the paper needs proxy scope.,A,source-backed explanation with repo evidence
cdn-edge-scope,cdn,CDN HTTP/3 CM can be edge-level rather than end-to-end,Managed CDNs often terminate viewer QUIC at the edge; viewer-edge continuity should not be described as origin-end-to-end CM.,9,PASS=5;PASS_NEGATIVE_CONTROL=4,4,A=3;B=1,Use CDN evidence only for edge-continuity framing unless origin QUIC is controlled.,Controlled edge test plus origin log separation if CDN scope is included.,A,source-backed explanation with repo evidence
middlebox-manageability,middlebox,Middleboxes and firewalls lose 5-tuple semantics,"Connection migration changes IP/port while keeping QUIC state, stressing NAT, firewalls, rate limiters, Kubernetes conntrack, and operational monitoring.",22,PASS=13;PASS_FEASIBILITY=3;PASS_NEGATIVE_CONTROL=6,8,A=6;B=2,"Use as operational-reluctance explanation, not as a local performance result.",Optional Mininet or firewall reproduction only if the paper claims middlebox behavior directly.,B,cautious explanatory support
security-risk,security,CM and preferred-address behavior can be operationally sensitive,"Migration can be repurposed for IP masking, censorship circumvention, exfiltration, or state-table abuse, making operators cautious.",0,-,9,B=9,Use as related-work rationale for disabled or conservative deployment policies.,Do not overclaim unless testing a specific security appliance or policy.,B,related-work support only
silent-client-downlink,application,Downlink-dominant workloads may not trigger timely migration recovery,"If the client has no post-change data to send, path validation or failure detection can be delayed; application heartbeats may change behavior.",14,PASS=6;PASS_FEASIBILITY=4;PASS_NEGATIVE_CONTROL=4,8,A=3;B=2;Watch=3,Local downlink/heartbeat controls justify comparing silent-client and heartbeat variants.,Controlled public active path-change trials with and without heartbeat.,A,source-backed explanation with repo evidence
observability-gap,methods,Browser and network artifacts are individually ambiguous,"NetLog hints, tuple changes, qlog frames, and route snapshots each miss part of the story; publishable CM evidence needs a combined chain.",39,PASS=18;PASS_FEASIBILITY=4;PASS_NEGATIVE_CONTROL=17,12,A=11;B=1,The current rubric and classifiers enforce a combined evidence chain.,Complete final browser handover rows with all required artifacts.,A,source-backed explanation with repo evidence
measurement-gap,adoption,HTTP/3 adoption does not equal CM adoption,Internet-wide studies find uneven CM support among HTTP/3-capable servers; provider configuration dominates observed support.,8,PASS=4;PASS_NEGATIVE_CONTROL=4,8,A=6;B=2,Use as the main gap that motivates controlled failure-layer experiments.,Run controlled public browser handover protocol and compare with wild-scan framing.,A,source-backed explanation with repo evidence
performance-risk,performance,"Successful migration can still impose stall, retransmission, or QoE cost","Even when migration works, handover latency and retransmission behavior can affect real-time media and task continuity.",17,PASS=9;PASS_FEASIBILITY=4;PASS_NEGATIVE_CONTROL=4,6,B=1;Watch=5,Current work verifies completion more than QoE; keep performance claims scoped.,"Measure recovery time, stall duration, and user-visible task success in final browser trials.",B,cautious explanatory support
