cycle,grade,type,title,year,venue_or_status,url,relevance,next_action
1,A,measurement,"An Analysis of QUIC Connection Migration in the Wild",2025,"ACM SIGCOMM Computer Communication Review 55(1)",https://arxiv.org/abs/2410.06066,"Anchor related work; Internet-wide CM support scan; failure reasons not fully classified","Use as primary related work and gap statement"
1,A,standard,"QUIC: A UDP-Based Multiplexed and Secure Transport",2021,"RFC 9000",https://www.rfc-editor.org/rfc/rfc9000.html,"Normative CM mechanism: CID, path validation, disable_active_migration, preferred address","Use in background and maturity rubric"
1,A,mobile-handover,"mQUIC: Use of QUIC for Handover Support with Connection Migration in Wireless/Mobile Networks",2023,"IEEE Communications Magazine",https://ieeexplore.ieee.org/document/10268842/,"Mobile Wi-Fi/5G handover using QUIC CM; modified Chromium/QUICHE implementation","Compare with our Android Chrome/custom-client experiment design"
1,B,middlebox,"When QUIC's Connection Migration Meets Middleboxes: A case study on mobile Wi-Fi hotspot",2021,"IEEE GLOBECOM",https://ieeexplore.ieee.org/document/9685048/,"Middlebox/hotspot deployment friction for QUIC CM","Use as deployment-path risk; inspect full paper if accessible"
1,B,proactive-migration,"Proactive Connection Migration in QUIC",2020,"MobiQuitous",https://dl.acm.org/doi/10.1145/3448891.3448900,"CM as proactive network/path selection, not only failure recovery","Use to distinguish passive/active/proactive migration"
1,B,edge-server-migration,"Server-side QUIC connection migration to support microservice deployment at the edge",2022,"Pervasive and Mobile Computing",https://dl.acm.org/doi/10.1016/j.pmcj.2022.101580,"Server-side migration and edge service continuity use-case","Use to separate client CM, server CM, preferred address, and LB"
1,B,security-privacy,"QUICstep: Evaluating connection migration based QUIC censorship circumvention",2026,"Proceedings on Privacy Enhancing Technologies 2026(1)",https://arxiv.org/abs/2304.01073,"CM as censorship-circumvention primitive and wild-support measurement tool","Use in security/privacy related work and operational reluctance discussion"
1,B,security-misuse,"QUIC-Exfil: Exploiting QUIC's Server Preferred Address Feature to Perform Data Exfiltration Attacks",2025,"ACM ASIACCS",https://arxiv.org/abs/2505.05292,"Preferred-address/server-side migration misuse; firewall manageability risk","Use as reason CM/preferred-address may be operationally sensitive"
1,Watch,draft,"Managing multiple paths for a QUIC connection",2026,"IETF QUIC WG draft",https://quicwg.org/multipath/draft-ietf-quic-multipath.html,"Multipath builds on CM but differs from single-path migration","Track in Cycle 3; use to avoid conflating multipath and CM"
1,Watch,draft,"QUIC New Server Preferred Address",2025,"IETF Internet-Draft",https://www.ietf.org/archive/id/draft-munizaga-quic-new-preferred-address-00.html,"Extension for server-requested migration to new preferred address","Track for server-side CM future work"
